sheet,points,geotiff,annotation_file,iiif_manifest,overview,native
9,https://dataverse.harvard.edu/api/access/datafile/7002557,https://dataverse.harvard.edu/api/access/datafile/7002572,https://dataverse.harvard.edu/api/access/datafile/7002765,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305636~90076029,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110010.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110010.jp2
10,https://dataverse.harvard.edu/api/access/datafile/7002727,https://dataverse.harvard.edu/api/access/datafile/7002554,https://dataverse.harvard.edu/api/access/datafile/7002720,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305637~90076028,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110011.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110011.jp2
11,https://dataverse.harvard.edu/api/access/datafile/7002743,https://dataverse.harvard.edu/api/access/datafile/7002545,https://dataverse.harvard.edu/api/access/datafile/7002796,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305638~90076027,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110012.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110012.jp2
12,https://dataverse.harvard.edu/api/access/datafile/7002707,https://dataverse.harvard.edu/api/access/datafile/7002789,https://dataverse.harvard.edu/api/access/datafile/7002641,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305639~90076026,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110013.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110013.jp2
13,https://dataverse.harvard.edu/api/access/datafile/7002734,https://dataverse.harvard.edu/api/access/datafile/7002764,https://dataverse.harvard.edu/api/access/datafile/7002770,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305640~90076025,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110014.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110014.jp2
14,https://dataverse.harvard.edu/api/access/datafile/7002881,https://dataverse.harvard.edu/api/access/datafile/7002869,https://dataverse.harvard.edu/api/access/datafile/7002525,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305641~90076024,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110015.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110015.jp2
15,https://dataverse.harvard.edu/api/access/datafile/7002644,https://dataverse.harvard.edu/api/access/datafile/7002863,https://dataverse.harvard.edu/api/access/datafile/7002678,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305642~90076023,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110016.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110016.jp2
16,https://dataverse.harvard.edu/api/access/datafile/7002803,https://dataverse.harvard.edu/api/access/datafile/7002589,https://dataverse.harvard.edu/api/access/datafile/7002627,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305643~90076022,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110017.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110017.jp2
17,https://dataverse.harvard.edu/api/access/datafile/7002712,https://dataverse.harvard.edu/api/access/datafile/7002533,https://dataverse.harvard.edu/api/access/datafile/7002817,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305644~90076021,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110018.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110018.jp2
18,https://dataverse.harvard.edu/api/access/datafile/7002502,https://dataverse.harvard.edu/api/access/datafile/7002782,https://dataverse.harvard.edu/api/access/datafile/7002604,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305645~90076020,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110019.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110019.jp2
19,https://dataverse.harvard.edu/api/access/datafile/7002758,https://dataverse.harvard.edu/api/access/datafile/7002522,https://dataverse.harvard.edu/api/access/datafile/7002468,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305646~90076019,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110020.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110020.jp2
20,https://dataverse.harvard.edu/api/access/datafile/7002834,https://dataverse.harvard.edu/api/access/datafile/7002713,https://dataverse.harvard.edu/api/access/datafile/7002827,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305647~90076018,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110021.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110021.jp2
21,https://dataverse.harvard.edu/api/access/datafile/7002710,https://dataverse.harvard.edu/api/access/datafile/7002455,https://dataverse.harvard.edu/api/access/datafile/7002759,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305648~90076017,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110022.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110022.jp2
22,https://dataverse.harvard.edu/api/access/datafile/7002694,https://dataverse.harvard.edu/api/access/datafile/7002495,https://dataverse.harvard.edu/api/access/datafile/7002595,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305649~90076016,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110023.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110023.jp2
