sheet,points,geotiff,annotation_file,iiif_manifest,overview,native
13,https://dataverse.harvard.edu/api/access/datafile/7002689,https://dataverse.harvard.edu/api/access/datafile/7002567,https://dataverse.harvard.edu/api/access/datafile/7002469,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f15,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f15.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f15/full/full/0/native.jpg
14,https://dataverse.harvard.edu/api/access/datafile/7002628,https://dataverse.harvard.edu/api/access/datafile/7002640,https://dataverse.harvard.edu/api/access/datafile/7002750,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f16,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f16.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f16/full/full/0/native.jpg
15,https://dataverse.harvard.edu/api/access/datafile/7002780,https://dataverse.harvard.edu/api/access/datafile/7002767,https://dataverse.harvard.edu/api/access/datafile/7002458,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f17,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f17.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f17/full/full/0/native.jpg
16,https://dataverse.harvard.edu/api/access/datafile/7002737,https://dataverse.harvard.edu/api/access/datafile/7002877,https://dataverse.harvard.edu/api/access/datafile/7002491,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f18,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f18.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f18/full/full/0/native.jpg
17,https://dataverse.harvard.edu/api/access/datafile/7002701,https://dataverse.harvard.edu/api/access/datafile/7002688,https://dataverse.harvard.edu/api/access/datafile/7002480,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f19,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f19.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f19/full/full/0/native.jpg
18,https://dataverse.harvard.edu/api/access/datafile/7002651,https://dataverse.harvard.edu/api/access/datafile/7002550,https://dataverse.harvard.edu/api/access/datafile/7002629,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f20,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f20.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f20/full/full/0/native.jpg
19,https://dataverse.harvard.edu/api/access/datafile/7002493,https://dataverse.harvard.edu/api/access/datafile/7002887,https://dataverse.harvard.edu/api/access/datafile/7002622,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f21,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f21.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f21/full/full/0/native.jpg
20,https://dataverse.harvard.edu/api/access/datafile/7002779,https://dataverse.harvard.edu/api/access/datafile/7002679,https://dataverse.harvard.edu/api/access/datafile/7002643,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f22,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f22.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f22/full/full/0/native.jpg
21,https://dataverse.harvard.edu/api/access/datafile/7002742,https://dataverse.harvard.edu/api/access/datafile/7002787,https://dataverse.harvard.edu/api/access/datafile/7002822,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f23,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f23.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f23/full/full/0/native.jpg
22,https://dataverse.harvard.edu/api/access/datafile/7002544,https://dataverse.harvard.edu/api/access/datafile/7002884,https://dataverse.harvard.edu/api/access/datafile/7002631,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f24,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f24.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f24/full/full/0/native.jpg
23,https://dataverse.harvard.edu/api/access/datafile/7002867,https://dataverse.harvard.edu/api/access/datafile/7002874,https://dataverse.harvard.edu/api/access/datafile/7002654,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f25,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f25.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f25/full/full/0/native.jpg
24,https://dataverse.harvard.edu/api/access/datafile/7002840,https://dataverse.harvard.edu/api/access/datafile/7002778,https://dataverse.harvard.edu/api/access/datafile/7002784,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f26,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f26.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f26/full/full/0/native.jpg
25,https://dataverse.harvard.edu/api/access/datafile/7002462,https://dataverse.harvard.edu/api/access/datafile/7002786,https://dataverse.harvard.edu/api/access/datafile/7002791,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f27,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f27.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f27/full/full/0/native.jpg
26,https://dataverse.harvard.edu/api/access/datafile/7002549,https://dataverse.harvard.edu/api/access/datafile/7002677,https://dataverse.harvard.edu/api/access/datafile/7002673,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f28,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f28.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f28/full/full/0/native.jpg
27,https://dataverse.harvard.edu/api/access/datafile/7002788,https://dataverse.harvard.edu/api/access/datafile/7002657,https://dataverse.harvard.edu/api/access/datafile/7002600,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f29,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f29.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f29/full/full/0/native.jpg
28,https://dataverse.harvard.edu/api/access/datafile/7002886,https://dataverse.harvard.edu/api/access/datafile/7002736,https://dataverse.harvard.edu/api/access/datafile/7002598,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f30,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f30.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f30/full/full/0/native.jpg
29,https://dataverse.harvard.edu/api/access/datafile/7002849,https://dataverse.harvard.edu/api/access/datafile/7002642,https://dataverse.harvard.edu/api/access/datafile/7002774,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f31,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f31.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f31/full/full/0/native.jpg
